"Stop ID","Stop Name","Latitude","Longitude","2022_Avg_Board","2022_Avg_Alight","2022_Max_Number_of_Days","2023_Avg_Board","2023_Avg_Alight","2023_Max_Number_of_Days","2021_Avg_Board","2021_Avg_Alight","2021_Max_Number_of_Days","2020_Avg_Board","2020_Avg_Alight","2020_Max_Number_of_Days","2019_Avg_Board","2019_Avg_Alight","2019_Max_Number_of_Days","2018_Avg_Board","2018_Avg_Alight","2018_Max_Number_of_Days","2017_Avg_Board","2017_Avg_Alight","2017_Max_Number_of_Days","Nearest_In","routes","Direction","Trans_P","Frequency_AM_Peak","Frquency_Midday","Frequency_PM_Peak","Frequency_Evening","Frequency_Late_Night"
"27970","Sharon Amity Rd & Tarrywood Ln",35.2183794,-80.7537666,7.833333333,10,31,18.72727273,13.81818182,31,5.833333333,7.833333333,31,5.916666667,6.416666667,31,9.75,13.25,31,11.66666667,26.25,31,36.41666667,57.25,31,"TARRYWOOD & LOVE","222, 29","outbound","transfer point",3,3,3,1,0
"27980","Sharon Amity Rd & Tarrywood Ln",35.2187351,-80.7536418,16.58333333,8.916666667,31,21.72727273,17.36363636,31,48.16666667,8.333333333,31,74.66666667,14.58333333,31,134.4166667,34.25,31,119.1666667,37.33333333,31,117.1666667,82.83333333,31,"TARRYWOOD & LOVE","222, 29","inbound","transfer point",3,3,3,1,0
"28000","Sharon Amity Rd & Sudbury Rd",35.2196773,-80.7526396,3.666666667,9.083333333,31,11.36363636,15.63636364,31,3.333333333,5.666666667,31,7.25,22.16666667,31,11,41.33333333,31,17.25,34,31,26.41666667,20.91666667,31,"SUDBURY & ABBEYDALE","222, 29","outbound","not a transfer point",3,3,3,1,0
"28020","Sharon Amity Rd & Abbeydale Dr",35.2206142,-80.7518083,8.416666667,16.91666667,31,7.272727273,17.90909091,31,7.833333333,42.16666667,31,11.91666667,62.08333333,31,13,97.91666667,31,18.66666667,63.91666667,31,16.5,63.33333333,31,"ABBEYDALE & VERNEDALE","222, 29","outbound","not a transfer point",3,3,3,1,0
"28025","Sharon Amity Rd & Twisted Oaks Rd",35.2223352,-80.7503287,89.75,121.75,31,116.0909091,154.5454545,31,100.25,126.8333333,31,119.1666667,174.6666667,31,150.6666667,196.6666667,31,155.75,206.5,31,109.4166667,200.1666667,31,"VERNEDALE & TWISTED OAKS","222, 29","outbound","not a transfer point",3,3,3,1,0
"28030","Sharon Amity Rd & Hickory Grove Rd",35.2231778,-80.749808,155.4166667,74.25,31,249.7272727,87.27272727,31,150.75,77.75,31,183.9166667,91.33333333,31,224.6666667,133,31,254.0833333,124.5833333,31,248.0833333,118.6666667,31,"HICKORY GROVE & HICKORY GROVE","222, 29","inbound","not a transfer point",3,3,3,1,0
"28050","Sharon Amity Rd & Hickory Grove Rd",35.2241758,-80.7487197,15.66666667,26.91666667,27,47.18181818,44.90909091,27,9.916666667,17.41666667,27,31.91666667,30.41666667,27,79.66666667,57.41666667,27,66.16666667,43.58333333,27,47.66666667,39.66666667,27,"HICKORY GROVE & HICKORY GROVE","29","outbound","not a transfer point",2,2,2,0,0
"28060","Sharon Amity Rd & Shamrock Dr",35.2258916,-80.7475706,20.25,45.66666667,27,32.36363636,43.27272727,27,11.16666667,32,27,20.41666667,39.5,27,49.5,66.41666667,27,37.5,88,27,29,87.33333333,27,"HICKORY GROVE & SHAMROCK","29","inbound","not a transfer point",2,2,2,0,0
"28070","Sharon Amity Rd & Sharon Chase Dr",35.2290631,-80.7441203,69.58333333,147.4166667,27,66.90909091,169.4545455,27,52.58333333,133.5833333,27,76.91666667,110.5,27,88.58333333,171.5,27,92.83333333,140.8333333,27,78.66666667,117.3333333,27,"SHARON CHASE & KIMMERLY GLEN","29","inbound","not a transfer point",2,2,2,0,0
"28095","Sharon Amity Rd & Shamrock Dr",35.226318,-80.747644,47.83333333,30.33333333,27,38.09090909,46.36363636,27,40.33333333,21,27,58.08333333,30.33333333,27,78.25,59.58333333,27,134.5,57.91666667,27,113.0833333,47.66666667,27,"HICKORY GROVE & SHAMROCK","29","outbound","not a transfer point",2,2,2,0,0
